upload date,id,username,full name,likes,comments,raw title,raw description
2024-12-18 00:00:00,https://www.instagram.com/levioi/p/DDv0S2KPSCA/,levioi,Levi Oi,644,80,"Levi Oi on Instagram: ""Incredible times at @wonderfruitfestival. Thank you dear fam for making my first set at the Moonlight stage so memorable. Will never forget these moments in the fields. Big love 🌾🌸🪅🌟💋🥭🌙""","644 likes, 80 comments - levioi on December 18, 2024: ""Incredible times at @wonderfruitfestival. Thank you dear fam for making my first set at the Moonlight stage so memorable. Will never forget these moments in the fields. Big love 🌾🌸🪅🌟💋🥭🌙"". "
2024-12-05 00:00:00,https://www.instagram.com/levioi/p/DDORDgyPkdv/,levioi,Levi Oi,740,126,"Levi Oi on Instagram: ""So excited to play @wonderfruitfestival next weekend ! See you in the fields 🍓🌾💃🌛🕺🍊

#AmazingThailand #wonderfruit2024""","740 likes, 126 comments - levioi on December 5, 2024: ""So excited to play @wonderfruitfestival next weekend ! See you in the fields 🍓🌾💃🌛🕺🍊

#AmazingThailand #wonderfruit2024"". "
2024-12-27 00:00:00,https://www.instagram.com/levioi/p/DEHDQcjPOBe/,levioi,Levi Oi,453,29,"Levi Oi on Instagram: ""Ending the year with my last show @cine.sgn 🌟
Come and dance into 2025 with us! 
@monotapevn
@bubitrn 
@mindaniel_ 
@c3_lina 

Techno all night long!
😈🥂🕺⚠️💃""","453 likes, 29 comments - levioi on December 27, 2024: ""Ending the year with my last show @cine.sgn 🌟
Come and dance into 2025 with us! 
@monotapevn
@bubitrn 
@mindaniel_ 
@c3_lina 

Techno all night long!
😈🥂🕺⚠️💃"". "
2024-11-26 00:00:00,https://www.instagram.com/levioi/p/DC3NPR1PQ0R/,levioi,Levi Oi,767,137,"Levi Oi on Instagram: ""A Cinderella story. 🎀☎️🩰

All thanks to my talented friends 💋
Photos: @edypham 
Production: @le.shushu 
Design: @lyquikhanh 
MUA: @trieu_lee & @huadunghairstylist 
Assistance: @torypofficial""","767 likes, 137 comments - levioi on November 26, 2024: ""A Cinderella story. 🎀☎️🩰

All thanks to my talented friends 💋
Photos: @edypham 
Production: @le.shushu 
Design: @lyquikhanh 
MUA: @trieu_lee & @huadunghairstylist 
Assistance: @torypofficial"". "
2024-11-21 00:00:00,https://www.instagram.com/levioi/p/DCqW-ENvIPL/,levioi,Levi Oi,652,65,"Levi Oi on Instagram: ""Lost in a moment 🌀

Photos: @edypham 
Styling: @truongminhnhan_ 
Make Up: @trieu_lee""","652 likes, 65 comments - levioi on November 21, 2024: ""Lost in a moment 🌀

Photos: @edypham 
Styling: @truongminhnhan_ 
Make Up: @trieu_lee"". "
2024-11-24 00:00:00,https://www.instagram.com/levioi/p/DCyBSZ_vK5L/,levioi,Levi Oi,908,51,"Levi Oi on Instagram: ""Having fun on @sync.radio 💖🐰🌸🌷🎀

1. Michael Jackson - Billie Jean (ABSNTH Remix)
2. Matt & Juan Brizuela - Endless Motion
3. GENESI & Kino Todo - Criminals Move in Silence
4. Infinity Ink - Infinity 
5. JENNIE - Mantra (Dommo Mashup)
6. Kekura, Yuma, Kalyma - No More""","908 likes, 51 comments - levioi on November 24, 2024: ""Having fun on @sync.radio 💖🐰🌸🌷🎀

1. Michael Jackson - Billie Jean (ABSNTH Remix)
2. Matt & Juan Brizuela - Endless Motion
3. GENESI & Kino Todo - Criminals Move in Silence
4. Infinity Ink - Infinity 
5. JENNIE - Mantra (Dommo Mashup)
6. Kekura, Yuma, Kalyma - No More"". "
2024-11-17 00:00:00,https://www.instagram.com/levioi/p/DCgCozvv3ik/,levioi,Levi Oi,1008,37,"Levi Oi on Instagram: ""Favourite city 🌟""","1,008 likes, 37 comments - levioi on November 17, 2024: ""Favourite city 🌟"". "
2024-11-03 00:00:00,https://www.instagram.com/levioi/p/DB8A3U6vrOP/,levioi,Levi Oi,770,58,"Levi Oi on Instagram: ""Uncontrollable hair and dance moves with @blaqlyteuv. 🐸🔫🍏💚🍋‍🟩🦜

1. Motley Flower, Pubpid Radio - What u want?
2. Chamid - Selector 
3. Castabien - Copicante
4. Tinashe - Nasty (Sherf Remix)
5. German Brigante - Você Não Pode (Eran Hersh & Asteon Remix) 
6. Siegel - Flawless in my Hood (Siegel’s private edit) 
7. Wren Evans - Call Me (Larria Remix)""","770 likes, 58 comments - levioi on November 3, 2024: ""Uncontrollable hair and dance moves with @blaqlyteuv. 🐸🔫🍏💚🍋‍🟩🦜

1. Motley Flower, Pubpid Radio - What u want?
2. Chamid - Selector 
3. Castabien - Copicante
4. Tinashe - Nasty (Sherf Remix)
5. German Brigante - Você Não Pode (Eran Hersh & Asteon Remix) 
6. Siegel - Flawless in my Hood (Siegel’s private edit) 
7. Wren Evans - Call Me (Larria Remix)"". "
2024-11-18 00:00:00,https://www.instagram.com/levioi/p/DCilt3EvJcK/,levioi,Levi Oi,832,51,"Levi Oi on Instagram: ""3 nights 3 sets. Curating sounds for @chanelofficial 🎶
Honored to DJ and craft the playlist for the Chanel Cruise event — an intimate and unforgettable experience. Thank you for this amazing opportunity.🫶

Special thanks to my glam squad:
Styling: @truongminhnhan_
Makeup: @trieu_lee & @makeupolesyalun

🚢💋👡""","832 likes, 51 comments - levioi on November 18, 2024: ""3 nights 3 sets. Curating sounds for @chanelofficial 🎶
Honored to DJ and craft the playlist for the Chanel Cruise event — an intimate and unforgettable experience. Thank you for this amazing opportunity.🫶

Special thanks to my glam squad:
Styling: @truongminhnhan_
Makeup: @trieu_lee & @makeupolesyalun

🚢💋👡"". "
2024-10-22 00:00:00,https://www.instagram.com/levioi/p/DBdFyY3vXZN/,levioi,Levi Oi,505,54,"Levi Oi on Instagram: ""First time playing in Bali and I couldn’t have asked for a better experience ❤️ Special thanks to the @whosyourdaddybali fam for an amazing night. Can’t wait to be back! 🎏💃💋💥💄""","505 likes, 54 comments - levioi on October 22, 2024: ""First time playing in Bali and I couldn’t have asked for a better experience ❤️ Special thanks to the @whosyourdaddybali fam for an amazing night. Can’t wait to be back! 🎏💃💋💥💄"". "
